Datetime,Longitude_X,Latitude_Y,Zone_ID
2016-02-01 08:01:10 +08:00,121.590916,25.080958,13
2016-02-01 08:01:16 +08:00,121.551468,25.063524,5
2016-02-01 08:01:42 +08:00,121.568883,25.068289,9
2016-02-01 08:01:59 +08:00,121.559309,25.057847,5
2016-02-01 08:02:04 +08:00,121.563837,25.052547,5
2016-02-01 08:02:24 +08:00,121.594335,25.079119,13
2016-02-01 08:02:26 +08:00,121.556419,25.063044,5
2016-02-01 08:02:56 +08:00,121.574780,25.084875,8
2016-02-01 08:03:00 +08:00,121.553750,25.052664,5
2016-02-01 08:03:13 +08:00,121.607781,25.052141,20
2016-02-01 08:03:25 +08:00,121.623329,25.063644,25
2016-02-01 08:03:28 +08:00,121.594298,25.067112,14
2016-02-01 08:03:34 +08:00,121.614157,25.060467,25
2016-02-01 08:03:44 +08:00,121.571293,25.079848,8
2016-02-01 08:03:49 +08:00,121.567767,25.079664,8
2016-02-01 08:04:02 +08:00,121.554322,25.081436,3
2016-02-01 08:04:42 +08:00,121.616865,25.055034,25
2016-02-01 08:05:10 +08:00,121.575525,25.058591,10
2016-02-01 08:05:31 +08:00,121.593989,25.071000,14
2016-02-01 08:05:48 +08:00,121.556733,25.061933,5
2016-02-01 08:06:01 +08:00,121.613876,25.058943,25
2016-02-01 08:06:12 +08:00,121.579511,25.067132,9
2016-02-01 08:06:20 +08:00,121.551996,25.057992,5
2016-02-01 08:06:28 +08:00,121.580452,25.070373,9
2016-02-01 08:06:30 +08:00,121.563879,25.060546,5
2016-02-01 08:07:23 +08:00,121.606335,25.073837,19
2016-02-01 08:07:46 +08:00,121.565808,25.059112,5
2016-02-01 08:08:06 +08:00,121.595840,25.078470,13
2016-02-01 08:08:10 +08:00,121.577168,25.077169,9
2016-02-01 08:08:31 +08:00,121.607109,25.072566,19
2016-02-01 08:08:44 +08:00,121.558315,25.059112,5
2016-02-01 08:09:09 +08:00,121.617935,25.055030,25
2016-02-01 08:09:10 +08:00,121.613784,25.056264,25
2016-02-01 08:09:18 +08:00,121.592175,25.071921,14
2016-02-01 08:09:19 +08:00,121.584058,25.068632,14
2016-02-01 08:09:21 +08:00,121.594110,25.070996,14
2016-02-01 08:09:23 +08:00,121.584080,25.068154,14
2016-02-01 08:09:29 +08:00,121.579663,25.067184,9
2016-02-01 08:09:40 +08:00,121.604516,25.073410,19
2016-02-01 08:09:53 +08:00,121.582450,25.069484,14
2016-02-01 08:09:54 +08:00,121.565887,25.082244,3
2016-02-01 08:09:55 +08:00,121.589298,25.087250,13
2016-02-01 08:10:09 +08:00,121.613513,25.056205,25
2016-02-01 08:10:18 +08:00,121.592650,25.082050,13
2016-02-01 08:10:19 +08:00,121.567041,25.059147,10
2016-02-01 08:11:32 +08:00,121.622263,25.069520,24
2016-02-01 08:11:33 +08:00,121.559680,25.052982,5
2016-02-01 08:11:55 +08:00,121.563210,25.058528,5
2016-02-01 08:12:19 +08:00,121.617023,25.055001,25
2016-02-01 08:12:35 +08:00,121.614009,25.068768,24
2016-02-01 08:12:35 +08:00,121.586888,25.081042,13
2016-02-01 08:12:45 +08:00,121.593491,25.069675,14
2016-02-01 08:12:56 +08:00,121.591108,25.089424,13
2016-02-01 08:12:59 +08:00,121.616407,25.053548,25
2016-02-01 08:13:09 +08:00,121.556999,25.052804,5
2016-02-01 08:13:25 +08:00,121.554267,25.085352,3
2016-02-01 08:13:39 +08:00,121.613813,25.056523,25
2016-02-01 08:13:55 +08:00,121.563768,25.058911,5
2016-02-01 08:14:06 +08:00,121.559195,25.079860,3
2016-02-01 08:14:15 +08:00,121.613864,25.057432,25
2016-02-01 08:14:23 +08:00,121.590994,25.080659,13
2016-02-01 08:14:26 +08:00,121.577212,25.074754,9
2016-02-01 08:14:29 +08:00,121.581527,25.064900,9
2016-02-01 08:15:30 +08:00,121.584040,25.061616,15
2016-02-01 08:15:43 +08:00,121.560932,25.079834,3
2016-02-01 08:15:44 +08:00,121.595421,25.057036,15
2016-02-01 08:15:47 +08:00,121.583882,25.069038,14
2016-02-01 08:16:38 +08:00,121.616392,25.054098,25
2016-02-01 08:16:40 +08:00,121.614335,25.068738,24
2016-02-01 08:17:09 +08:00,121.591491,25.078536,13
2016-02-01 08:17:48 +08:00,121.611125,25.074656,19
2016-02-01 08:18:00 +08:00,121.575751,25.079832,8
2016-02-01 08:18:09 +08:00,121.568545,25.054354,10
2016-02-01 08:18:19 +08:00,121.608681,25.075991,19
2016-02-01 08:18:29 +08:00,121.580366,25.054946,10
2016-02-01 08:18:49 +08:00,121.614107,25.058959,25
2016-02-01 08:19:01 +08:00,121.556252,25.083752,3
2016-02-01 08:19:02 +08:00,121.560361,25.054664,5
2016-02-01 08:19:51 +08:00,121.606089,25.054256,20
2016-02-01 08:19:57 +08:00,121.583846,25.084543,13
2016-02-01 08:20:07 +08:00,121.557356,25.083881,3
2016-02-01 08:20:15 +08:00,121.597659,25.056671,15
2016-02-01 08:20:25 +08:00,121.578956,25.055842,10
2016-02-01 08:20:27 +08:00,121.591358,25.081205,13
2016-02-01 08:20:57 +08:00,121.563908,25.062347,5
2016-02-01 08:21:12 +08:00,121.556234,25.082862,3
2016-02-01 08:21:17 +08:00,121.589722,25.059635,15
2016-02-01 08:21:21 +08:00,121.583552,25.078420,13
2016-02-01 08:21:31 +08:00,121.596907,25.082034,13
2016-02-01 08:21:55 +08:00,121.569642,25.054976,10
2016-02-01 08:22:35 +08:00,121.596624,25.082116,13
2016-02-01 08:22:44 +08:00,121.589599,25.087670,13
2016-02-01 08:22:46 +08:00,121.596923,25.081912,13
2016-02-01 08:22:48 +08:00,121.598962,25.066336,19
2016-02-01 08:22:50 +08:00,121.554322,25.081436,3
2016-02-01 08:23:16 +08:00,121.579646,25.078384,8
2016-02-01 08:23:21 +08:00,121.613281,25.055380,25
2016-02-01 08:23:32 +08:00,121.564883,25.062528,5
2016-02-01 08:23:44 +08:00,121.562306,25.083731,3
2016-02-01 08:23:46 +08:00,121.595858,25.078388,13
2016-02-01 08:24:28 +08:00,121.553396,25.053422,5
2016-02-01 08:24:54 +08:00,121.578392,25.082135,8
2016-02-01 08:24:55 +08:00,121.563290,25.059028,5
2016-02-01 08:25:14 +08:00,121.563223,25.060304,5
2016-02-01 08:25:19 +08:00,121.564954,25.053510,5
2016-02-01 08:25:22 +08:00,121.621510,25.066600,24
2016-02-01 08:25:47 +08:00,121.588546,25.086565,13
2016-02-01 08:25:53 +08:00,121.608777,25.075318,19
2016-02-01 08:26:16 +08:00,121.580160,25.076516,9
2016-02-01 08:26:19 +08:00,121.616499,25.068227,24
2016-02-01 08:26:24 +08:00,121.580000,25.076746,9
2016-02-01 08:26:41 +08:00,121.615330,25.068490,24
2016-02-01 08:26:57 +08:00,121.593892,25.084747,13
2016-02-01 08:27:11 +08:00,121.603687,25.057692,20
